index, rv_x, r_vy, r_vz
481, 4.429897e-02, 7.064430e-02, 8.446430e-01
482, 3.891039e-02, 1.037910e-01, 4.609864e-01
483, 2.105583e-01, 7.317696e-02, 5.889057e-01
484, 1.362001e-01, 1.956449e-01, 4.355613e-01
485, 4.751235e-02, 4.473165e-01, 2.744353e-01
486, 3.658894e-01, 6.033207e-01, 2.448980e-01
487, 2.162955e-01, 1.004527e-01, 4.020998e-01
488, 2.003815e-01, 3.310607e-01, 4.855003e-01
489, 1.085324e-01, 2.928846e-01, 5.054351e-01
490, 5.589662e-02, 1.660211e-01, 5.420510e-01
491, 2.354760e-01, 1.331452e-01, 3.938354e-01
492, 1.543438e-01, 5.578432e-02, 5.393075e-01
493, 3.443673e-01, 3.023938e-02, 4.515427e-01
494, 2.433957e-01, 2.839052e-01, 3.557235e-01
495, 5.363056e-01, 3.798712e-01, 1.621373e-01
496, 2.280958e-01, 7.887475e-02, 6.518305e-01
497, 1.626061e-01, 1.979030e-02, 7.000905e-01
498, 6.665155e-01, 3.957385e-01, 2.729601e-01
499, 1.010497e-01, 1.421607e-01, 4.865444e-01
